,N,E,Directed?,Weighted?,alpha_f_PR,alpha_r_PR,beta_r_BPR,Type
ScaleFree_10_0.3_0,10,17,True,False,0.00086,0.179104,0.3025,ScaleFree
ScaleFree_10_0.3_1,10,19,True,False,0.001395,0.222222,0.3315,ScaleFree
ScaleFree_10_0.3_2,10,14,True,False,0.000332,0.206897,0.3145,ScaleFree
ScaleFree_10_0.3_3,10,17,True,False,0.003157,0.230769,0.3475,ScaleFree
ScaleFree_10_0.3_4,10,17,True,False,0.009165,0.27907,0.3555,ScaleFree
ScaleFree_10_0.3_5,10,14,True,False,0.001996,0.16,0.2865,ScaleFree
ScaleFree_10_0.3_6,10,17,True,False,0.001748,0.164384,0.2935,ScaleFree
ScaleFree_10_0.3_7,10,22,True,False,0.000912,0.285714,0.3685,ScaleFree
ScaleFree_10_0.3_8,10,16,True,False,0.001974,0.222222,0.3305,ScaleFree
ScaleFree_10_0.3_9,10,14,True,False,0.002136,0.27907,0.3845,ScaleFree
ScaleFree_10_0.5_0,10,17,True,False,0.004079,0.181818,0.3035,ScaleFree
ScaleFree_10_0.5_1,10,11,True,False,0.004341,0.133333,0.2695,ScaleFree
ScaleFree_10_0.5_2,10,14,True,False,0.000551,0.2,0.3005,ScaleFree
ScaleFree_10_0.5_3,10,18,True,False,0.003357,0.3125,0.3785,ScaleFree
ScaleFree_10_0.5_4,10,13,True,False,0.000843,0.136364,0.2595,ScaleFree
ScaleFree_10_0.5_5,10,13,True,False,0.001651,0.166667,0.2935,ScaleFree
ScaleFree_10_0.5_6,10,15,True,False,0.001596,0.230769,0.3345,ScaleFree
ScaleFree_10_0.5_7,10,12,True,False,0.000179,0.142857,0.2715,ScaleFree
ScaleFree_10_0.5_8,10,10,True,False,0.00014,0.166667,0.3085,ScaleFree
ScaleFree_10_0.5_9,10,17,True,False,0.001413,0.238095,0.3365,ScaleFree
ScaleFree_1010_0.3_0,1010,1934,True,False,1.9e-05,0.003562,0.0425,ScaleFree
ScaleFree_1010_0.3_1,1010,2063,True,False,0.00011,0.005727,0.0535,ScaleFree
ScaleFree_1010_0.3_2,1010,2009,True,False,1e-06,0.003294,0.0405,ScaleFree
ScaleFree_1010_0.3_3,1010,1990,True,False,0.000716,0.003399,0.0415,ScaleFree
ScaleFree_1010_0.3_4,1010,2013,True,False,0.000191,0.004698,0.0485,ScaleFree
ScaleFree_1010_0.3_5,1010,2203,True,False,8e-05,0.006421,0.0565,ScaleFree
ScaleFree_1010_0.3_6,1010,1991,True,False,2.1e-05,0.003593,0.0425,ScaleFree
ScaleFree_1010_0.3_7,1010,2041,True,False,3.8e-05,0.003805,0.0435,ScaleFree
ScaleFree_1010_0.3_8,1010,2065,True,False,9.2e-05,0.004041,0.0455,ScaleFree
ScaleFree_1010_0.3_9,1010,2132,True,False,0.000197,0.006596,0.0575,ScaleFree
ScaleFree_1010_0.5_0,1010,1720,True,False,7.8e-05,0.005604,0.0525,ScaleFree
ScaleFree_1010_0.5_1,1010,1460,True,False,1e-05,0.002517,0.0355,ScaleFree
ScaleFree_1010_0.5_2,1010,1741,True,False,0.000479,0.005366,0.0515,ScaleFree
ScaleFree_1010_0.5_3,1010,1708,True,False,2.1e-05,0.007592,0.0615,ScaleFree
ScaleFree_1010_0.5_4,1010,1720,True,False,4.7e-05,0.006461,0.0565,ScaleFree
ScaleFree_1010_0.5_5,1010,1606,True,False,0.000204,0.004499,0.0475,ScaleFree
ScaleFree_1010_0.5_6,1010,1508,True,False,3.2e-05,0.002223,0.0335,ScaleFree
ScaleFree_1010_0.5_7,1010,1663,True,False,3.2e-05,0.003904,0.0435,ScaleFree
ScaleFree_1010_0.5_8,1010,1670,True,False,2e-05,0.005308,0.0515,ScaleFree
ScaleFree_1010_0.5_9,1010,1670,True,False,3.2e-05,0.003796,0.0435,ScaleFree
ScaleFree_2010_0.3_0,2010,4623,True,False,0.000179,0.002739,0.0375,ScaleFree
ScaleFree_2010_0.3_1,2010,4208,True,False,0.00031,0.002692,0.0365,ScaleFree
ScaleFree_2010_0.3_2,2010,4126,True,False,0.000821,0.001634,0.0285,ScaleFree
ScaleFree_2010_0.3_3,2010,4195,True,False,5.8e-05,0.00191,0.0305,ScaleFree
ScaleFree_2010_0.3_4,2010,4231,True,False,2.4e-05,0.002574,0.0355,ScaleFree
ScaleFree_2010_0.3_5,2010,4266,True,False,0.000147,0.003182,0.0395,ScaleFree
ScaleFree_2010_0.3_6,2010,4225,True,False,1.6e-05,0.001898,0.0305,ScaleFree
ScaleFree_2010_0.3_7,2010,4522,True,False,0.000609,0.002301,0.0335,ScaleFree
ScaleFree_2010_0.3_8,2010,4325,True,False,0.000246,0.002105,0.0325,ScaleFree
ScaleFree_2010_0.3_9,2010,4712,True,False,0.00076,0.002629,0.0365,ScaleFree
ScaleFree_2010_0.5_0,2010,3274,True,False,4.2e-05,0.00211,0.0325,ScaleFree
