,N,E,Directed?,Weighted?,alpha_f_PR,alpha_r_PR,beta_r_BPR
Flightpaths.good,170,1083,True,True,0.00095,0.024796,0.115
Flightpaths.notgood,170,1083,True,True,0.000918,0.024796,0.115
Hi-tech,36,147,True,True,0.000715,0.338528,0.405
Isle_of_Man,686,2205,True,True,0.000283,0.03014,0.125
Korea,39,168,True,True,0.000135,0.4,0.465
ModMath,38,122,True,True,0.000983,0.342857,0.425
Movies.dynetML,102,192,True,True,0.000798,0.138835,0.265
NewcombFraternity,17,272,True,True,0.000955,0.564315,0.565
Ragusan,812,4031,True,True,0.000749,0.038899,0.135
SanJuanSur,75,197,True,True,0.000933,0.206897,0.315
Sawmill,36,124,True,True,0.000105,0.27326,0.365
Scotland,153,648,True,True,0.000115,0.076857,0.195
Twitter JSON merge_10_10_nato,835,1511,True,True,0.000129,0.032787,0.125
Twitter JSON merge_10_11_nato,995,2349,True,True,0.000257,0.021277,0.105
Twitter JSON merge_10_5_nato,1363,2816,True,True,0.000606,0.017845,0.095
Twitter JSON merge_10_6_nato,1583,3815,True,True,0.000595,0.019698,0.095
Twitter JSON merge_10_7_nato,1035,2684,True,True,0.000985,0.030257,0.125
Twitter JSON merge_10_8_nato,1634,3355,True,True,0.000196,0.016725,0.085
Twitter JSON merge_10_9_nato,902,1648,True,True,0.000227,0.033425,0.125
USAir97,232,3275,True,True,0.000895,0.059272,0.175
advogato,6539,51127,True,True,0.000712,0.010972,0.075
attiro,60,161,True,True,0.000219,0.178042,0.295
bktec,34,1122,True,True,0.000569,0.612893,0.595
centrality_literature,105,525,True,True,0.000112,0.08229,0.195
csphd,1391,1732,True,True,0.000462,0.123137,0.245
dimacs10-celegansneural,297,4296,True,True,0.000661,0.023297,0.105
dining,26,52,True,True,0.000314,0.3,0.355
drug_net,293,337,True,True,3.4e-05,0.189274,0.295
embassy_tanzania_ct_period1,80,1089,True,True,0.000801,0.152484,0.285
featureSetNames,96,94,True,True,4.8e-05,0.014085,0.085
foodweb-baydry,128,2137,True,True,0.00097,0.019369,0.095
foodweb-baywet,128,2106,True,True,0.000156,0.019261,0.095
friend_edgefile,3930,268822,True,True,0.000504,0.011626,0.075
gama,16,116,True,True,0.000388,0.759036,0.695
literature_1976,34,80,True,True,0.000827,0.337892,0.425
mention_edgefile,5909,174507,True,True,0.000961,0.010184,0.075
mexican_power,31,212,True,True,0.000141,0.336227,0.425
moreno_bison,26,314,True,True,0.00085,0.297459,0.395
moreno_highschool,70,366,True,True,0.000854,0.315671,0.395
moreno_mac,62,1187,True,True,0.000995,0.249673,0.335
moreno_oz,217,2672,True,True,0.000536,0.437189,0.465
moreno_rhesus,16,111,True,True,0.000943,0.376477,0.415
moreno_seventh,29,376,True,True,0.000741,0.610165,0.585
moreno_sheep,28,250,True,True,7.6e-05,0.307144,0.355
opsahl-usairport,1574,28236,True,True,0.00059,0.016315,0.095
polblogs,1490,19025,True,True,0.00037,0.02807,0.115
prison,67,182,True,True,0.000734,0.422535,0.445
strike,24,76,True,True,0.000514,0.466667,0.505
szcid,16,120,True,True,0.001015,0.458556,0.485
szcig,15,134,True,True,5.7e-05,0.39866,0.485
west_bank_18,267,487,True,True,0.000328,0.073636,0.185
wiring,14,109,True,True,0.000404,0.507281,0.515
wolf,20,363,True,True,0.001758,0.432296,0.475
world_trade,77,976,True,True,0.000175,0.144239,0.265
PR1,1996,37465,True,False,0.000681,0.130871,0.245
Valkyria_Chronicles,217,534,True,False,0.000258,0.280837,0.345
cfinder-google,15763,171206,True,False,6e-06,0.000605,0.015
dimacs10-celegans_metabolic,453,2025,True,False,0.000141,0.037944,0.135
dimacs10-polblogs,1224,33430,True,False,0.000342,0.019987,0.105
ego-gplus,23628,39242,True,False,0.000539,0.142714,0.255
ego-twitter,23370,33101,True,False,0.000832,0.160581,0.265
librec-ciaodvd-trust,4658,40133,True,False,0.000472,0.047399,0.145
librec-filmtrust-trust,874,1853,True,False,0.000714,0.046145,0.155
linux,30837,213954,True,False,0.000108,0.000912,0.025
maayan-Stelzl,1706,6207,True,False,0.000951,0.041052,0.145
maayan-faa,1226,2615,True,False,0.000205,0.064171,0.175
maayan-figeys,2239,6452,True,False,0.000246,0.138063,0.245
maayan-foodweb,183,2494,True,False,0.000246,0.107143,0.225
moreno_blogs,1224,19025,True,False,0.000787,0.02807,0.115
moreno_hens,32,496,True,False,0.000606,0.333236,0.375
moreno_innovation,241,1098,True,False,0.000974,0.190563,0.295
moreno_taro,22,78,True,False,0.000219,0.5,0.535
opsahl-openflights,2939,30501,True,False,6.2e-05,0.03088,0.125
p2p-Gnutella04,10876,39994,True,False,6.1e-05,0.127156,0.235
p2p-Gnutella05,8846,31839,True,False,0.000175,0.106383,0.215
p2p-Gnutella06,8717,31525,True,False,0.000906,0.122574,0.235
p2p-Gnutella08,6301,20777,True,False,0.000807,0.10158,0.205
p2p-Gnutella09,8114,26013,True,False,0.000138,0.086789,0.195
p2p-Gnutella24,26518,65369,True,False,0.000185,0.027082,0.115
p2p-Gnutella25,22687,54705,True,False,0.000145,0.104712,0.215
p2p-Gnutella30,36682,88328,True,False,0.000229,0.105559,0.215
subelj_cora,23166,91500,True,False,0.000317,0.007012,0.055
tntp-ChicagoRegional,12979,39018,True,False,0.000199,0.324324,0.405
wiki-Vote,7115,103689,True,False,0.000561,0.014735,0.085
