,N,E,Directed?,Weighted?,alpha_f_PR,alpha_r_PR,beta_r_BPR,Type
Random_10_0.3_0,10,21,True,False,0.008606,0.3,0.4035,Random
Random_10_0.3_1,10,29,True,False,0.000238,0.32967,0.4105,Random
Random_10_0.3_2,10,32,True,False,0.00199,0.571429,0.5845,Random
Random_10_0.3_3,10,27,True,False,0.000925,0.521739,0.5195,Random
Random_10_0.3_4,10,28,True,False,0.000188,0.571429,0.5765,Random
Random_10_0.3_5,10,22,True,False,0.001202,0.521739,0.5155,Random
Random_10_0.3_6,10,17,True,False,0.001057,0.4,0.4605,Random
Random_10_0.3_7,10,28,True,False,0.001032,0.560748,0.5395,Random
Random_10_0.3_8,10,23,True,False,0.00025,0.428571,0.4665,Random
Random_10_0.3_9,10,22,True,False,0.017988,0.266667,0.3665,Random
Random_10_0.5_0,10,40,True,False,0.001155,0.537313,0.5415,Random
Random_10_0.5_1,10,47,True,False,0.002001,0.519159,0.5345,Random
Random_10_0.5_2,10,46,True,False,0.001299,0.669856,0.6205,Random
Random_10_0.5_3,10,42,True,False,0.002235,0.552632,0.6055,Random
Random_10_0.5_4,10,44,True,False,0.003373,0.6,0.6015,Random
Random_10_0.5_5,10,48,True,False,0.000687,0.644666,0.6005,Random
Random_10_0.5_6,10,50,True,False,0.000619,0.638298,0.6025,Random
Random_10_0.5_7,10,53,True,False,0.001608,0.50501,0.5075,Random
Random_10_0.5_8,10,42,True,False,0.002226,0.588235,0.5845,Random
Random_10_0.5_9,10,52,True,False,0.000181,0.696517,0.6545,Random
Random_1010_0.0029702970297029703_0,1010,2999,True,False,0.000659,0.226415,0.3225,Random
Random_1010_0.0029702970297029703_1,1010,3088,True,False,9.5e-05,0.251046,0.3345,Random
Random_1010_0.0029702970297029703_2,1010,2894,True,False,4.8e-05,0.266667,0.3535,Random
Random_1010_0.0029702970297029703_3,1010,3030,True,False,0.00058,0.283019,0.3415,Random
Random_1010_0.0029702970297029703_4,1010,3033,True,False,8.4e-05,0.247934,0.3265,Random
